,Year,Country,Region,city,AttackType,Killed,Wounded,Target,Summary,Group,Target_type,Weapon_type,Motive
2812,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,Uskudar headquarters of the Ataturk Association (ADD),"11/18/1999: Unidentified assailants of the Great East Islamic Raiders Front (IBDA-C) damaged pictures of Mustafa Kemal Ataturk and planted a pipe-bomb in headquarters of the Ataturk Association (ADD) in Istanbul, Turkey. The perpetrators spray painted their name at the scene. No casualties were reported.",Great Eastern Islamic Raiders Front (IBDA-C),Government (General),Explosives,Unknown
2835,1999,Turkey,Middle East & North Africa,Istanbul,Assassination,1,0.0,Nihat Akgun,"11/25/1999: Nihat Akgun, a businessman who was the owner of Akgun Hotel, was killed in an armed attack in Istanbul, Turkey. Two unknown assailants attacked him at Atakoy Marina. No further information was provided.",Unknown,Private Citizens & Property,Firearms,Unknown
2885,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,1.0,"Stand selling alcohol at the Carrefour shopping mall in Istanbul, Turkey","12/19/1999: A homemade pipe bomb exploded at a stand selling alcohol at the Carrefour shopping mall in Istanbul, Turkey, injuring one civilian. There was no immediate claim of responsibility for the attack. Police suspicion fell on radical Islamic groups because an alcohol stand was targeted.",Unknown,Business,Explosives,Unknown
2886,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,"Carrefour shopping mall in Istanbul, Turkey","12/19/1999: A homemade pipe bomb exploded under a tree near the Carrefour shopping mall in the Kadikoy district of Istanbul, Turkey. There was no immediate claim of responsibility for the attacks. Police suspicion fell on radical Islamic groups because an alcohol stand was targeted.",Unknown,Private Citizens & Property,Explosives,Unknown
2899,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,"Kanal D Television building in the Mecidiyekoy quarter in Istanbul, Turkey","12/25/1999: A pipe-type concussion bomb exploded at the Kanal D television building in the Mecidiyekoy quarter in Istanbul, Turkey. There were no casualties reported. An unidentified individual telephoned Kanal D after the attack to claim responsibility for the incident on behalf of a fundamentalist terrorist organization. The executive editor of Channel-D, Tuncay Ozkan, said the attack came in response to an announcement by the channel that it would no longer report on any ""terrorist"" attacks. The anonymous caller reminded Channel-D of its pledge not to report on any terrorist attacks and said, ""Now, let's see whether you report this attack on you."" A person said to be one of the two perpetrators, Ali Acar, was caught in Besiktas and reported to be a member of the illegal organization Great East Islamic RaidersÂFront (IBDA-C) - Islami Buyuk.",Great Eastern Islamic Raiders Front (IBDA-C),Journalists & Media,Explosives,"The attack likely occurred because Channel-D announced it would no longer report on any ""terrorist"" attacks."
2917,2000,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,A pharmacy in Istanbul,01/01/2000: A pipe bomb exploded outside an Istanbul pharmacy. There were no casualties and minor damage to the building in this attack by un known perpetrators.,Unknown,Business,Explosives,Unknown
2964,2000,Turkey,Middle East & North Africa,Istanbul,Armed Assault,0,0.0,The Akit newspaper building in Istanbul,01/09/2000: The Akit newspaper building in Istanbul was attacked when unknoen people in a car opened fire on the building shattering some windows. No injuries or fatalities reported.,Unknown,Journalists & Media,Firearms,Unknown
2996,2000,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,Hurriyet Media Towers newspaper facility in Istanbul,01/16/2000: A bomb exploded at the Hurriyet Media Towers newspaper facility in Istanbul. Two trucks nearby were damaged. The attack was claimed by the Great East Islamic Raiders Front (IBDA-C - Islami Buyuk Dogu Akincilar Cephesi) organization.,Great Eastern Islamic Raiders Front (IBDA-C),Journalists & Media,Explosives,Unknown
3021,2000,Turkey,Middle East & North Africa,Erzin,Bombing/Explosion,0,0.0,A government building in Erzin,"01/25/2000: A bomb was thrown at a government building in Erzin, Hatay Province. No one was injured, though damage was caused to the building. No group claimed responsibility for the incident.",Unknown,Government (General),Explosives,Unknown
3027,2000,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,The Marriage Bureau building in Istanbul,01/26/2000: A bomb was thrown by unknown perpetrators into the Marriage Bureau in Istanbul. No one was injured and the building was slightly damaged.,Unknown,Government (General),Explosives,Unknown
3028,2000,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,The Kadikoy train station in Istanbul,01/26/2000: A firebomb was thrown by unknown perpetrators into the Kadikoy train station in Istanbul. The bomb started a fire that was extinguished by firemen.,Unknown,Transportation,Incendiary,Unknown
3045,2000,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,A bank branch in Istanbul,"01/30/2000: A home-made pipe bomb was thrown into a bank in Istanbul by unknown perpetrators. No one was injured, and ONLY minor damage was caused to the building.",Unknown,Business,Explosives,Unknown
3051,2000,Turkey,Middle East & North Africa,Adana,Bombing/Explosion,0,0.0,Civilians working in a tax office in Seyhan,"2/2/2000: Unidentified assailants placed explosives encased in plastic bottles in a tax office in Seyhan, Turkey.  The explosives detonated, causing panic amongst the employees, but no injuries were reported.",Unknown,Private Citizens & Property,Explosives,Unknown
3052,2000,Turkey,Middle East & North Africa,Isparta,Bombing/Explosion,0,0.0,"Metin Alp, the Director General of Isparta Security","2/2/2000: A bomb was found attached to the tire of a car belonging to Metin Alp, the Director General of Isparta Security, in Isparta, Turkey.  A police guard had heard sounds coming from the police station garage and had seen a man running away.  Police discovered the bomb and detonated it.  The assailant remained unidentified.",Unknown,Police,Explosives,Unknown
3070,2000,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,"Telecom company, a cellular phone company with offices in Sisli district","2/10/2000: Two bombs exploded in Sisli district in Istanbul, Turkey.  The bombs exploded in the neighboring offices of Telecom company, a cellular telephone company.  No one was injured but windows were broken in the explosion.  A note was found at the site that was signed by IBDA-C, the initials of the Great Eastern Islamic Raiders Front.  The same group later called newspaper claiming responsibility.",Great Eastern Islamic Raiders Front (IBDA-C),Telecommunication,Explosives,"Specific motive is unknown, but the attacks began at the same time that the leader of the Islamic Front of Fighters for the Greater East went to trial for terrorism-related charges."
3071,2000,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,1.0,A museum in Beyoglu district,"2/10/2000: A bomb exploded in front of a museum in Beyoglu district in Istanbul, Turkey.  The museum was dedicated to Mustafa Kemal Ataturk, the founder of the Republic.  Windows were broken and one woman was injured in the explosion.  The group known as the  Great Eastern Islamic Raiders Front (IBDA-C) called newspapers and claimed responsibility for the attack.",Great Eastern Islamic Raiders Front (IBDA-C),Private Citizens & Property,Explosives,"Specific motive is unknown, but the attacks began at the same time that the leader of the Islamic Front of Fighters for the Greater East went to trial for terrorism-related charges."
3072,2000,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,The building of the Istanbul Religious Directorate in Eminonu district,"2/10/2000: A bomb exploded in Eminonu district in Istanbul, Turkey.  The bomb damaged the building of the Istanbul Religious Directorate, situated near a mosque.  A note was found at the site that was signed by IBDA-C, the initials of the Great Eastern Islamic Raiders Front.  The same group later called newspapers claiming responsibility for the attack.",Great Eastern Islamic Raiders Front (IBDA-C),Government (General),Explosives,"Specific motive is unknown, but the attacks began at the same time that the leader of the Islamic Front of Fighters for the Greater East went to trial for terrorism-related charges."
3168,2000,Turkey,Middle East & North Africa,Ankara,Armed Assault,1,4.0,"Cetin Aydin, a local businessman","03/11/2000: Unidentified gunmen stormed into the Hilton Hotel in Ankara, Turkey and killed Ali Tibuk, the nephew of Liberal Democratic Party (LDP) Chairman Besim Tibuk, and wounded two other people in the lobby. Police stated that the real target of the attack was Cetin Aydin, a local businessman.",Unknown,Private Citizens & Property,Firearms,Unknown
3232,2000,Turkey,Middle East & North Africa,Ankara,Bombing/Explosion,0,0.0,"Civilians in Ankara, Turkey","04/03/2000: Two men were arrested after the pipe bomb they were planting exploded prematurely in Ankara, Turkey. They were injured in the explosion, and they were arrested at the hospital. They identified the location of two other bombs, which were disarmed by the bomb squad.",Unknown,Private Citizens & Property,Explosives,Unknown
3266,2000,Turkey,Middle East & North Africa,Gaziantep,Bombing/Explosion,0,0.0,"Tax office in Gaziantep, Turkey","04/14/2000: The tax office in Gaziantep, Turkey, was bomb. The time explosive device caused minor damage however there were no injuries. A leftist organization was suspected, but no specific group was mentioned.",Unknown,Government (General),Explosives,Unknown
3323,2000,Turkey,Middle East & North Africa,Diyarbakir,Assassination,1,0.0,"Former party head, Seyfettin Ozbulten","05/04/2000: On the evening of May 4, 2000, the former head of the National Acton Party, Seyfettin Ozbulten was assassinated. He was shot outside his home in Diyarbakir, Turkey. No one has taken credit for the attacks but the police speculated that Hizballah was responsible.",Turkish Hezbollah,Government (General),Firearms,Unknown
3567,2000,Turkey,Middle East & North Africa,Diyarbakir,Assassination,1,2.0,Seyhmus Aziz,07/06/2000: A fifty year old tax-office worker was killed in a drive-by shooting by Hizbullah militants in Diyarbakir. (Hizbullah in this case is not related to the Hizbullah group in Lebanon.) Two policemen who attempted to intervene were also injured in the incident.,Turkish Hezbollah,Government (General),Firearms,Unknown
3718,2000,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,Star Pazarlama marketing office in Istanbul,"8/14/2000: A bomb was found and defused in Bakirkoy district of Istanbul, Turkey.  The time incendiary bomb was left in front of the marketing firm Star Pazarlama's office.  People in the area became suspicious of the package and called the authorities.  No group has claimed responsibility and motive is unknown.",Unknown,Business,Explosives,Unknown
3741,2000,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,"Migros shopping center in Aksaray district, Istanbul","8/20/2000: An improvised explosive device was discovered and defused in the Migros shopping center in Aksaray district, Istanbul, Turkey.  The device was determined to be a homemade time bomb.  No group has claimed responsibility and motive is unknown.",Unknown,Business,Explosives,Unknown
3818,2000,Turkey,Middle East & North Africa,Dazya,Armed Assault,1,2.0,Turkish Gendarmes in Tokat Province,"09/06/2000: Unknown gunmen attacked Turkish Gendarmes (Turkish Ministry of Internal Affairs Security Forces) unit who were returning from an operation in Turhal District, Tokat Province. The incident occurred in Dazya village as the unit was heading back towards provincial capital Tokat. One member of the security unit was killed, and two other members were wounded but survived. There were no reports of arrests.",Unknown,Military,Firearms,Unknown
3960,2000,Turkey,Middle East & North Africa,Kadikoy district,Bombing/Explosion,0,0.0,A police station and officers in Kadikoy district,"9/27/2000: A pipe bomb exploded near police headquarters in Kadikoy district, Istanbul, Turkey.  Security discovered a second bomb (a time bomb) while searching the area following the explosion; they defused it before it could detonate.  No one was injured in the attack and it is unknown whether the explosion caused any damage.  No one claimed responsibility for the attack and motive is unknown.",Unknown,Police,Explosives,Unknown
3978,2000,Turkey,Middle East & North Africa,Unknown,Armed Assault,3,1.0,Indiscriminate Civilians in Hakkari,"10/00/2000: A Kurdistan Workers' Party (PKK) attack a village in Hakkari, Turkey. Three civilians were killed and one injured in the incident. Turkish Security Forces killed six PKK members possibly associated with the attack several days after the incident.",Kurdistan Workers' Party (PKK),Private Citizens & Property,Firearms,Unknown
3994,2000,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,1,0.0,Istanbul Military Academy,"10/06/2000: A man died while attempting to plant a bomb in front of the recreational center of the military academy in Istanbul, Turkey. There were no other casualties. Devirmic Halk Kurtulus Cephesi (DHKP/C) was believed to be behind the failed attack.",Devrimici Halk Kurtulus Cephesi (DHKP/C),Military,Explosives,The attack was in protest of F-type prisons.
4065,2000,Turkey,Middle East & North Africa,Diyarbakir,Armed Assault,1,0.0,Police Elements Located in Diyarbakir,10/20/2000: The two suspected members of Hizballah opened fire on two policemen in Diyarbakir's Baglar district. The militants were arrested after a special anti-terror unit was deployed and the neighborhood was put under a brief security blockade. A Turkish policeman was died in the incident.,Turkish Hezbollah,Police,Firearms,Unknown
4102,2000,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,Bayrampasa prison,"10/26/2000: Unknown assailants threw a packaged fragmentation bomb over the wall and into Bayrampasa prison, in Bayrampasa district, a suburb of Istanbul, Turkey.  The bomb was safely defused before it could explode.  No group has claimed responsibility and the motive is unknown.",Unknown,Police,Explosives,Unknown
4162,2000,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,The ATM at an unnamed bank branch in Sisli district,"11/13/2000: In the third of three related attacks, the automated teller machine at an unnamed bank branch in the Sisli district of Istanbul, Turkey, was the target of a bombing attack. There was minor damage, but no one was injured in the blast. The perpetrators of this incident were unknown.",Unknown,Business,Explosives,Unknown
4163,2000,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,The ATM at an unnamed bank branch in Kagithane district,"11/13/2000: In the first of three related attacks, the automated teller machine at an unnamed bank branch in the Kagithane district of Istanbul, Turkey, was the target of a bombing attack. There was minor damage, but no one was injured in the blast. The perpetrators of this incident were unknown.",Unknown,Business,Explosives,Unknown
4164,2000,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,The ATM at an unnamed bank branch in Kagithane district,"11/13/2000: In the second of three related attacks, the automated teller machine at an unnamed bank branch in the Kagithane district of Istanbul, Turkey, was the target of a bombing attack. There was minor damage, but no one was injured in the blast. The perpetrators of this incident were unknown.",Unknown,Business,Explosives,Unknown
4170,2000,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,Nationalist Movement Party's (MHP) club in the Esenler district of Istanbul,"11/15/2000: A bomb exploded at the club of the Nationalist Movement Party (MHP) in the Esenler district of Istanbul, Turkey, causing financial damage, but no casualties. The perpetrators of this incident were unknown.",Unknown,Government (General),Explosives,Unknown
4209,2000,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,1,1.0,Sehit Ismail Akkoyun Police Station in the Umraniye district of Istanbul,"11/22/2000: An unidentified perpetrator attempted to stage a suicide bomb attack on the Sehit Ismail Akkoyun Police Station in the Umraniye district of Istanbul, Turkey. The attacker was shot and killed by police, who saw him approach the station with grenades. A child who was passing by the street was wounded and hospitalized.",Unknown,Police,Explosives,Unknown
4247,2000,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,2.0,Civilians in the vicinity of a garbage can in the park,"11/26/2000: An explosive device detonated inside a garbage can in a park in Bagcilar Square, Bagcilar district, Istanbul, Turkey.  Two people were injured in the attack and a third person was treated for shock.  No group claimed responsibility for the explosion although someone did telephone the police before the incident with the anonymous tip that the device was in the park.  Motive is unknown.",Unknown,Private Citizens & Property,Explosives,Unknown
4300,2000,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,The Kasimpasa branch of Pamukbank in Istanbul,12/8/2000: Two unidentified assailants ran away after leaving a bag of explosives in front of the Kasimpasa branch of Pamukbank in Istanbul.  The explosion caused some damage to the bank.  The motive behind the bombing is unknown.,Unknown,Business,Explosives,Unknown
4312,2000,Turkey,Middle East & North Africa,Istanbul,Facility/Infrastructure Attack,0,0.0,"Office of Municipal Police Force in the Bahcelievler District of Istanbul, Turkey","12/12/2000: A petrol bomb was hurled at the Office of Municipal Police Force in the Bahcelievler District of Istanbul, Turkey, causing no casualties and minor damage. Five assailants were taken into custody following the attack.",Unknown,Police,Incendiary,Unknown
4339,2000,Turkey,Middle East & North Africa,Unknown,Facility/Infrastructure Attack,0,2.0,A cafÃ© in southern Adana province,"12/19/2000: Two unidentified assailants threw a firebomb into a cafÃ© in southern Adana province, Turkey.  Two people were injured in the attack.  No one claimed responsibility for the incident and the motive is unknown.",Unknown,Business,Incendiary,Unknown
4419,2001,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,10.0,Civilians celebrating the new year,"1/1/2001: An improvised explosive device went off shortly after midnight on Istiklal Street, near Taksim square, Istanbul, Turkey.  Taksim square was full of people celebrating the new year when the bomb exploded.  Ten people were injured in the attack and the remaining crowds fled in panic.  Authorities speculate that the attack may have been retaliatory for a recent crackdown on jail-based hunger strikes.",Unknown,Private Citizens & Property,Explosives,"Specific motive is unknown; however, sources speculate that the attack may have been in retaliation for crackdowns on hunger strikes in jails."
4423,2001,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,3,7.0,Istanbul Police Station,01/03/2001: A suicide bomber attacked and Istanbul police station killing three and injuring seven. The bomber was posthumously identified as Gultenkin Koc. He was associated with the Revolutionary PeopleÂs Liberation Party-Front (DHKP-C).,Devrimici Halk Kurtulus Cephesi (DHKP/C),Police,Explosives,Unknown
4441,2001,Turkey,Middle East & North Africa,Istanbul,Armed Assault,0,1.0,Istanbul Police Vehicle,"01/07/2001: Two gunmen attacked a police vehicle in Istanbul, Turkey, injuring one officer. The assailants then fled on foot. Authorities believe that the Revolutionary PeopleÂs Liberation Party-Front (DHKP Â C) were responsible.",Devrimici Halk Kurtulus Cephesi (DHKP/C),Police,Firearms,Unknown
4446,2001,Turkey,Middle East & North Africa,Istanbul,Armed Assault,0,1.0,Dr. Zekeriya Beyaz,"01/08/2001: A professor at the Marmara University School of Theology in Baglarbasi, Turkey was stabbed. Authorities believed the attacker, Halil Cihan, was linked to the Great East Islamic Raiders Front (IBDA-C - Islami Buyuk Dogu Akincilar Cephesi). The professor was the only one wounded.",Great Eastern Islamic Raiders Front (IBDA-C),Educational Institution,Melee,Unknown
4456,2001,Turkey,Middle East & North Africa,Istanbul,Armed Assault,1,1.0,"Police in Istanbul, Turkey","01/10/2001: Assailants carried out an armed attack on a police vehicle in Istanbul, Turkey. Nine people believed to be involved were later arrested. One policeman died and one was injured.",Unknown,Police,Firearms,Unknown
4519,2001,Turkey,Middle East & North Africa,Unknown,Bombing/Explosion,0,0.0,An election bus of the Nationalist Movement Party (MHP),"1/23/2001: Unidentified assailants threw an explosive device at an election bus parked in southern Mersin province, Turkey.  The bus was owned by the Nationalist Movement Party (MHP).  No one was hurt in the explosion; however, the bus was damaged, as was the surrounding buildings.  No group claimed responsibility for the attack.",Unknown,Government (General),Explosives,Unknown
4521,2001,Turkey,Middle East & North Africa,Diyarbakir,Armed Assault,6,0.0,Diyarbakir Police Force,"01/24/2001: Six were killed in a Hizballah armed attack on the police chief in Diyarbakir, Turkey.",Turkish Hezbollah,Police,Firearms,Unknown
4618,2001,Turkey,Middle East & North Africa,Aydin,Armed Assault,0,2.0,Passengers on a private tour operator's bus near Aydin,02/14/2001: Unknown perpetrators boarded a private tour operator's bus and opened fire on passengers near the city of Aydin in Western Turkey. Two Turkish citizens were wounded. Turkish authorities apprehended two suspects whom they believed were connected with the attack. No group claimed responsibility for the shooting.,Unknown,Private Citizens & Property,Firearms,Unknown
4632,2001,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,A McDonalds restaurant on Mustafa Kemal Avenue in Istanbul,"2/17/2001: A suspicious package was discovered at a McDonalds restaurant on Mustafa Kemal Avenue, Aksaray district of Istanbul, Turkey.  Authorities determined that it was a time bomb and safely defused it.  No group claimed responsibility for the incident and motive is unknown.",Unknown,Business,Explosives,Unknown
4633,2001,Turkey,Middle East & North Africa,Istanbul,Armed Assault,0,0.0,The Dogan Media Center on the outskirts of Istanbul,"2/17/2001: Unidentified gunmen opened fire on the Dogan Media Center building in Istanbul, Istanbul province, Turkey.  The assailants fired at the building from a speeding car, hitting the third and fourth floors.  No one was injured in the attack; however, the shots did shatter windows on the building.  The Dogan Media Center is home to the daily newspapers Milliyet, Radikal, and Posta, as well as a sports newspaper called Fanatik.  No group has claimed responsibility for the attack.",Gunmen,Journalists & Media,Firearms,Unknown
4795,2001,Turkey,Middle East & North Africa,Izmir,Bombing/Explosion,0,0.0,Trade Registration Office in the Cankaya District of Ankara,"03/26/2001: A hand-made time and pipe bomb exploded in front of the trade Registration Office in the Cankaya district of western Izmir province, Turkey, shattering windows of the building. No one has claimed responsibility for the attack.",Unknown,Government (General),Explosives,Unknown
4848,2001,Turkey,Middle East & North Africa,Ankara,Bombing/Explosion,0,0.0,The Directorate General of the Red Crescent Organization,"04/09/2001: Authorities defused a pipe bomb found under the stairs of the humanitarian Red Crescent Organization Directorate General's office in Ankara, Turkey.  No one was injured and no damage was done.  No group claimed responsibility for the incident.",Unknown,NGO,Explosives,"Although no specific motive was provided for this incident, sources note that the Red Crescent Organization had undergone some scrutiny in relation to its business practices and decisions."
4887,2001,Turkey,Middle East & North Africa,Istanbul,Hostage Taking (Barricade Incident),0,0.0,"Indiscriminate civilians at the SwissÃ´tel hotel in Istanbul, Turkey","04/22/2001: At least twenty-one Chechen rebels stormed the SwissÃ´tel hotel in Istanbul, Turkey, taking at least 104 people hostage. The proceeding standoff with police ended twelve hours, on April 23, 2001, later after the foreign minister of Turkey negotiated with the hostage takers for their surrender and the release of all the hostages unharmed. The hostages were mostly Western, including many Europeans and some Americans (unspecified).",Chechen Rebels,Business,Firearms,The attack was to protest the Russian war in the Caucasus.
4940,2001,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,The main offices of Cekul Foundation,"05/07/2001: A bomb in the entrance of the main offices of the environmental group Cekul Foundation was defused by authorities in Istanbul, Marmara region, Turkey.  No one was injured and no damage was done.  The Great Eastern Islamic Raiders' Front claimed responsibility for the bomb in a telephone call warning the police of the bomb.",Great Eastern Islamic Raiders Front (IBDA-C),NGO,Explosives,"Although the specific motive was unknown, the source notes that the Great Eastern Islamic Raiders Front has claimed to be behind other violent acts against various groups."
5559,2001,Turkey,Middle East & North Africa,Istanbul,Armed Assault,1,0.0,Uzeyir Garih,"08/25/2001: A prominent Turkish-Jewish businessman, Uzeyir Garih, was stabbed to death in a cemetery in Istanbul, Turkey in a suspected attack by Great Eastern Islamic Raiders Front (IBDA-C)",Great Eastern Islamic Raiders Front (IBDA-C),Business,Melee,Garih may have been murdered by IBDA-C for acting for Iran.
5725,2001,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,3,16.0,"Turkish civilians in Taksim, Turkey","09/10/2001: A female suicide bomber launched an attack against police in Taksim, Turkey. Two police officers and the attacker died as a result of the explosion. Another 16 people, including 11 policemen, were injured in the bombing. The Revolutionary People's Liberation Party-Front, a banned Marxist organization, claimed responsibility for the attack.",Devrimici Halk Kurtulus Cephesi (DHKP/C),Police,Explosives,The attack was to avenge the deaths of prisoners on a yearlong hunger strike that were protesting Turkey's new maximum security prisons.
5926,2001,Turkey,Middle East & North Africa,Istanbul,Armed Assault,0,1.0,"People's Democratic Party (HADEP) office in Istanbul, Turkey","11/14/2001: An unknown gunman attacked a People's Democratic Party (HADEP) office in the Sisli district in Istanbul, Turkey shooting one person in the leg. The assailant left a suspicious package at the office but it did not contain explosives. During the attack the assailant demanded revenge for the killing of their brothers in fighting with Kurdish rebels.",Unknown,Government (General),Firearms,The attack was carried out as revenge for the killing of the perpetrator's brother.
5927,2001,Turkey,Middle East & North Africa,Istanbul,Armed Assault,0,1.0,"People's Democratic Party (HADEP) office in Istanbul, Turkey","11/14/2001: An unknown gunman attacked a People's Democratic Party (HADEP) office in Istanbul, Turkey, stabbing one person in the leg. The assailant left a suspicious package at the office but it did not contain explosives. During the attack the assailant demanded revenge for the killing of their brothers in fighting with Kurdish rebels.",Unknown,Government (General),Melee,The attack was carried out as revenge for the killing of the perpetrator's brother.
6275,2002,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,"Turkish Airlines office in Istanbul, Turkey","02/11/2002: Police defused a bomb placed in front of a Turkish Airlines office in Istanbul, Turkey, after children found the package and took it to a police station. The perpetrators were unknown.",Unknown,Airports & Aircraft,Explosives,Unknown
6533,2002,Turkey,Middle East & North Africa,Istanbul,Hostage Taking (Barricade Incident),0,0.0,Civilians at the Mamara Hotel in Istanbul,"05/04/2002: Mustafa Yildirim, a Turk who fought in Chechnya against the Russian forces, held 13 people hostage with a Kalashnikov rifle in the upscale Marmara Hotel in Istanbul, Turkey for 90 minutes before releasing them and then giving himself up to Turkish authorities. Of the 13 hostage victims there were four Bulgarians, three Japanese, and six Turkish citizens, but no one was injured or killed. Yildirim committed this act to Âmake the plight of the Chechen people heard by the world.Â According to one source this was the fourth hostage incident by pro-Chechen perpetrators in Turkey in the past few years.",Chechen Rebels,Private Citizens & Property,Firearms,Yildirim held thirteen people hostage to bring international attention to the cause of Chechen independence from Russia.
6596,2002,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,Ritz Carlton Hotel in Istanbul,"05/13/2002: In the first of two small bomb blasts in Istanbul, Turkey, a bomb exploded inside a parking lot near the Ritz-Carlton Hotel. This attacked was followed just minutes later by a second blast near the Ceylan International Hotel. No one was injured in either blast. The police stated that these bombings had nothing to do with the hostage situation that occurred at IstanbulÂs Marmara Hotel on May 4, 2002. Local authorities suspected the People's Liberation Party-Front (DHKP-C) may have been behind the incidents, but no group claimed responsibility for the attacks.",Unknown,Business,Explosives,Unknown
6597,2002,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,Ceylan International Hotel,"05/13/2002: In the second of two small bombing incidents in Istanbul, Turkey, a bomb exploded near the Ceylan International Hotel. Just minutes before this incident a bomb exploded inside a parking lot near the Ritz-Carlton Hotel. No one was injured in either blast. The police stated that these bombings had nothing to do with the hostage situation that occurred at IstanbulÂs Marmara Hotel on May 4, 2002. Local authorities suspected the People's Liberation Party-Front (DHKP-C) may have been behind the incidents, but no group claimed responsibility for the attacks.",Unknown,Business,Explosives,Unknown
6951,2002,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,Nationalist Action Party (MHP) office,"08/27/2002: Two unidentified perpetrators threw a bomb at the party headquarters of the Nationalist Action Party (MHP), in Istanbul, Turkey. The building sustained damage, but there were no reported injuries. The incident was suspected to have been related to parliamentary elections held on November 3, 2002.",Unknown,Government (General),Explosives,Unknown
7324,2003,Turkey,Middle East & North Africa,Eskisehir,Armed Assault,0,0.0,Ismet Inonu Boulevard McDonald's,01/10/2003: A McDonaldÂs restaurant was fired upon by an unknown number of assailants wielding shotguns in Eskisehir City inside Turkey. The restaurant suffered damage although no one was inside at the time. There were no casualties.,Unknown,Business,Firearms,Unknown
7457,2003,Turkey,Middle East & North Africa,Istanbul,Hijacking,0,0.0,Turkish Airlines aircraft at Istanbul airport,"02/07/2003: During the night, Ali Ilker Urbak hijacked a plane parked at Istanbul's airport and took two flight attendants hostage. Urbak claimed to have a explosives, claiming that he had dynamite sticks. The plane was soon stormed by Turkish police, and he was subdued in less than one minute and without any weapons. All the passengers on the plane had left before Urbak entered the aircraft.  The explosives he claimed to have were actually candles tied together to resemble a stack of dynamite. After he was arrested, Urbak's initial testimony to the Turkish police stated that he wanted to denounce any US military action against Iraq and gain attention for saying so. Later on, he changed his testimony and claimed he hijacked the aircraft in order to fly to Moscow to see a former Russian girlfriend.  The Police claimed that he was intoxicated when arrested.  He was arrested, put in jail, and was arraigned on 02/09/2003.  There was no available word on the outcome of the trial.",Unknown,Airports & Aircraft,Fake Weapons,"Urbak was intoxicated when he stated his motivations for the incident, but claimed to have acted to denounce any U.S. military action against Iraq and to see his girlfriend in Moscow."
7527,2003,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,UPS Office in Istanbul,Late 02/26/2003 to early 02/27/2003: A bomb exploded in front of the local United Parcel Service (UPS) cargo company office in Istanbul.  The blast smashed the door and windows of the office.  There was no claim of responsibility.  The bomb was homemade and contained in a small metal box.,Unknown,Business,Explosives,Unknown
7528,2003,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,MNG Factor Leasing office in Istanbul,Late 02/26/2003 to early 02/27/2003: A bomb exploded in front of a branch of the Turkish MNG Factor Leasing office.  The windows were destroyed.  The bomb was homemade and placed in small metal boxes.,Unknown,Business,Explosives,Unknown
